,treino,previsto,MAPE,MSE,AE
gamma1,[0.7304444585170966],[0.7520330548286438],0.029555424864711865,0.00046606749070294905,0.021588596311547192
gamma2,[0.4323894557693134],[0.20312952995300293],0.5302162732169498,0.05256011358530019,0.2292599258163105
gamma3,[0.5600881671017948],[0.5757278203964233],0.027923555992187394,0.00024459875517618645,0.015639653294628575
gamma4,[0.5427750652860777],[0.628166913986206],0.1573245606909399,0.007291767824425619,0.08539184870012839
JXX,[-0.3425989589338041],[-0.3844589293003082],0.12218358893084723,0.0017522571190846038,0.04185997036650413
JXY,[0.966427833152556],[1.0728414058685303],0.11011021109444426,0.011323848458177948,0.10641357271597429
JXZ,[0.918495070954692],[0.7955284714698792],0.13387834444990568,0.015120784588858367,0.12296659948481281
JYX,[0.8366488800851453],[0.7909398078918457],0.05463351864960098,0.002089319280772271,0.04570907219329956
JYY,[0.5798112643432451],[0.33527860045433044],0.4217452797608166,0.05979622370860893,0.2445326638889147
JYZ,[0.7501332473545428],[0.6414985060691833],0.1448205924327126,0.011801507014136979,0.10863474128535944
JZX,[-0.9991944506389123],[-0.993713915348053],0.005484953691801371,3.0036267074354726e-05,0.005480535290859345
JZY,[0.253978106028669],[0.4517848491668701],0.7788338382044346,0.039127507630942276,0.19780674313820112
JZZ,[-0.5047147084859811],[-0.5547291040420532],0.099094388800562,0.002501439762839247,0.05001439555607212
