,treino,previsto,MAPE,MSE,AE
gamma1,[0.5027374637992491],[0.5024359822273254],0.0005996799395957762,9.089113820956545e-08,0.0003014815719236674
gamma2,[0.6354437055408811],[0.6351864337921143],0.0004048694581810342,6.618875271357128e-08,0.0002572717487668852
gamma3,[0.9537326488081348],[0.9532074332237244],0.0005506947728661551,2.758514101075919e-07,0.0005252155844104323
gamma4,[0.9867575298826218],[0.9860193729400635],0.0007480631464206869,5.448756718470159e-07,0.000738156942558299
JXX,[0.49458253244656714],[0.4941740036010742],0.0008260074278645354,1.6689581759977565e-07,0.000408528845492917
JXY,[-0.5944947353081806],[-0.5939293503761292],0.0009510343800747088,3.196601213908721e-07,0.0005653849320514936
JXZ,[-0.5896826918056928],[-0.5894057154655457],0.00046970403573992625,7.671589300129147e-08,0.00027697634014711703
JYX,[0.2015142521860358],[0.20133671164512634],0.00088103218002445,3.152064366642361e-08,0.00017754054090945992
JYY,[-0.8864854257125787],[-0.8859671354293823],0.0005846574215021902,2.6862481765579163e-07,0.0005182902831963876
JYZ,[0.5526572011585595],[0.5522002577781677],0.000826811592129635,2.087972528839004e-07,0.0004569433803918166
JZX,[0.5288222950287738],[0.5284433364868164],0.0007166084817523307,1.4360957652244264e-07,0.0003789585419573527
JZY,[-0.9165274392042873],[-0.9159732460975647],0.0006046661376594425,3.0712999953879816e-07,0.0005541931067225558
JZZ,[0.36678988670422896],[0.36682650446891785],9.983308159859945e-05,1.3408606908105045e-09,3.6617764688884336e-05
