,treino,previsto,MAPE,MSE,AE
gamma1,[0.8736083929044367],[0.8735457062721252],7.175598680210558e-05,3.92961387055211e-09,6.268663231145943e-05
gamma2,[0.1075195632359407],[0.10752991586923599],9.628604305784378e-05,1.0717701614687841e-10,1.0352633295296343e-05
gamma3,[0.6493164540857067],[0.6493070721626282],1.4448922431426108e-05,8.802048065151064e-11,9.381923078533028e-06
gamma4,[0.2180493456293846],[0.21802081167697906],0.0001308600689590664,8.141864398816548e-10,2.8533952405540575e-05
JXX,[0.0963156568326593],[0.09622962027788162],0.0008932769355159087,7.402288758012696e-09,8.60365547776798e-05
JXY,[-0.7362170732482487],[-0.7361716628074646],6.168077654562519e-05,2.0621081322061976e-09,4.541044078409939e-05
JXZ,[0.4230936845360489],[0.42305633425712585],8.827898001833804e-05,1.395043335629101e-09,3.735027892304288e-05
JYX,[-0.39549988816436876],[-0.39549124240875244],2.186032379540883e-05,7.474909017714754e-11,8.645755616321082e-06
JYY,[0.8766505495505419],[0.8765311241149902],0.00013622923708071132,1.4262434656702892e-08,0.00011942543555165663
JYZ,[-0.6145633054693405],[-0.6145572066307068],9.923857443806827e-06,3.7195832679575553e-11,6.098838633672443e-06
JZX,[0.5239700143912078],[0.5238917469978333],0.00014937380236446066,6.125784865650606e-09,7.826739337457589e-05
JZY,[-0.6687169051968782],[-0.6686201095581055],0.0001447483053299542,9.369395685422725e-09,9.679563877273978e-05
JZZ,[0.9321742923082421],[0.9321536421775818],2.2152649811006006e-05,4.264278962885705e-10,2.0650130660326838e-05
