,treino,previsto,MAPE,MSE,AE
gamma1,[0.08318062375973012],[0.08318536728620529],5.702682019880422e-05,2.2501043420643583e-11,4.743526475170512e-06
gamma2,[0.8471707277144365],[0.8471457362174988],2.9499953338934935e-05,6.245749191864402e-10,2.499149693768743e-05
gamma3,[0.22742352882594852],[0.22740007936954498],0.00010310919245950626,5.498770056212791e-10,2.3449456403534796e-05
gamma4,[0.7892196963182868],[0.7891427278518677],9.752476627001879e-05,5.924144822913686e-09,7.696846641913613e-05
JXX,[-0.2588867178073859],[-0.2588125765323639],0.0002863850090493808,5.4969286618926924e-09,7.414127502203272e-05
JXY,[0.9003708718663839],[0.9002878069877625],9.225629261998866e-05,6.899774060391142e-09,8.306487862141942e-05
JXZ,[-0.5999070717600636],[-0.5998849272727966],3.6913195908887464e-05,4.903783163186015e-10,2.214448726700624e-05
JYX,[-0.4060517541652038],[-0.4060078561306],0.00010810945686974274,1.927037442076991e-09,4.389803460380648e-05
JYY,[-0.16375735637421673],[-0.1637100875377655],0.00028865168257365196,2.2343428994532068e-09,4.726883645123081e-05
JYZ,[-0.5253895926232446],[-0.5253598093986511],5.668788459389575e-05,8.870404671845037e-10,2.978322459346039e-05
JZX,[-0.3972357250361773],[-0.39718466997146606],0.00012852586384723755,2.606619632670785e-09,5.1055064711258424e-05
JZY,[0.6815276211230483],[0.6814801692962646],6.962568399719472e-05,2.2516758651077265e-09,4.745182678367321e-05
JZZ,[-0.020560708179608644],[-0.020650280639529228],0.004356487098504638,8.023225576224595e-09,8.957245992058382e-05
