,treino,previsto,MAPE,MSE,AE
gamma1,[0.18333476966499396],[0.2087474912405014],0.13861375898278266,0.0006458064178742616,0.025412721575507446
gamma2,[0.9096814486371707],[0.8446325063705444],0.07150738576023358,0.004231364890006879,0.06504894226662628
gamma3,[0.4911694960396128],[0.5028086304664612],0.02369677783473282,0.0001354694502062473,0.011639134426848385
gamma4,[0.0713372135887923],[0.07222411036491394],0.012432456098355046,7.865858914949536e-07,0.0008868967761216373
JXX,[0.2969944399577662],[0.3581007719039917],0.20574907717099036,0.003733983803922299,0.0611063319462255
JXY,[0.40273908193734953],[0.410579115152359],0.019466780271970432,6.146612081245186e-05,0.007840033215009479
JXZ,[0.9140940053161357],[0.9645904302597046],0.055242048027768095,0.0025498889320814846,0.050496424943568874
JYX,[-0.6071937818236794],[-0.5705745220184326],0.06030901649760397,0.001340970188684166,0.03661925980524683
JYY,[-0.8692615292310002],[-0.8272280693054199],0.04835536660959279,0.0017668117533153629,0.042033459925580274
JYZ,[0.6485148599678836],[0.7130027413368225],0.09943932722240557,0.004158686843454338,0.0644878813689389
JZX,[-0.3338666967613588],[-0.37735259532928467],0.1302492850882,0.0018910233742599346,0.04348589856792584
JZY,[-0.25525056072843344],[-0.25172775983810425],0.013801344374233032,1.2410126112904147e-05,0.003522800890329192
JZZ,[0.6297316462233915],[0.6696937680244446],0.06345897024663245,0.0015969711788422014,0.039962121801053074
