,treino,previsto,MAPE,MSE,AE
gamma1,[0.2360563634962105],[0.22919219732284546],0.029078505115051653,4.711677725556898e-05,0.006864166173365049
gamma2,[0.0031806306102971638],[0.03660894185304642],10.509963381012067,0.0011174519925421162,0.033428311242749253
gamma3,[0.3710466916321078],[0.3365270495414734],0.09303314884386728,0.0011916056900654985,0.034519642090634406
gamma4,[0.5853624971821242],[0.4575718343257904],0.21831030083325306,0.016330453513261168,0.12779066285633378
JXX,[-0.6701010403336041],[-0.6445485949516296],0.03813222759548823,0.0006529274649987864,0.02555244538197443
JXY,[0.3795338484351347],[0.4259728789329529],0.12235807343479921,0.002156583553577286,0.04643903049781817
JXZ,[0.26999988080944126],[0.2825239896774292],0.046385608876720656,0.0001568533029372141,0.012524108867987938
JYX,[-0.04179905588509758],[-0.07429840415716171],0.777513931448652,0.001056207638108918,0.03249934827206413
JYY,[-0.5679713042121943],[-0.556786060333252],0.019693325694432554,0.00012510968063141786,0.011185243878942375
JYZ,[0.5852667164004928],[0.5648190975189209],0.034937265879954375,0.00041810511792601454,0.020447618881571872
JZX,[0.6157086039068553],[0.49216312170028687],0.20065576706681604,0.015263486173653525,0.12354548220656847
JZY,[0.02491247927518625],[0.021177470684051514],0.14992520615380675,1.3950289175850288e-05,0.0037350085911347364
JZZ,[0.010168306940023353],[-0.036152184009552],4.555378906517251,0.0021455878818096926,0.046320490949575355
