,treino,previsto,MAPE,MSE,AE
gamma1,[0.8146899866097305],[0.8335307836532593],0.023126339286350304,0.000354975633235444,0.018840797043528812
gamma2,[0.29400468375380795],[0.3475354313850403],0.18207447224227769,0.002865540941958686,0.053530747631232334
gamma3,[0.8827730256872423],[0.9272633790969849],0.05039840606265319,0.001979391546523796,0.04449035340974261
gamma4,[0.07371467624776351],[0.002768854843452573],0.9624382146894855,0.005033309574732384,0.07094582140431094
JXX,[-0.5802975109269655],[-0.6596584320068359],0.13675902375162627,0.00629815579464543,0.07936092107987047
JXY,[-0.2292041774699194],[-0.09960804879665375],0.5654178300928819,0.016795156567097624,0.12959612867326564
JXZ,[-0.6098793712177752],[-0.6063529849052429],0.005782104591422763,1.2435400425215335e-05,0.003526386312532326
JYX,[-0.208798665868833],[-0.35587945580482483],0.7044144143544852,0.021632758768195356,0.14708078993599183
JYY,[0.12536156185456337],[0.06813032180070877],0.4565294114654594,0.0032754148381019315,0.057231240053854604
JYZ,[0.29162154792135575],[0.32779210805892944],0.12403253598848649,0.001308309420665835,0.03617056013757369
JZX,[-0.49062788968221094],[-0.5520067811012268],0.12510273612609374,0.0037673683118273397,0.06137889141901587
JZY,[-0.28781508340846984],[-0.29947859048843384],0.040524307975239225,0.0001360373974043703,0.011663507079963997
JZZ,[-0.6434039479658533],[-0.7284751534461975],0.13222052141473506,0.007237110001878944,0.08507120548034419
