,treino,previsto,MAPE,MSE,AE
gamma1,[0.7304444585170966],[0.7301816940307617],0.00035973232909225706,6.904517527883738e-08,0.0002627644863348877
gamma2,[0.4323894557693134],[0.43249839544296265],0.00025194803479977346,1.1867852494799011e-08,0.00010893967364922208
gamma3,[0.5600881671017948],[0.5599568486213684],0.00023446037274072585,1.7244543301487438e-08,0.00013131848042635674
gamma4,[0.5427750652860777],[0.5428228974342346],8.812517600038596e-05,2.2879143973090445e-09,4.783214815695658e-05
JXX,[-0.3425989589338041],[-0.342611700296402],3.719031323834464e-05,1.6234232085062855e-10,1.2741362597878947e-05
JXY,[0.966427833152556],[0.9662184119224548],0.00021669619077298394,4.385725161707788e-08,0.00020942123010114777
JXZ,[0.918495070954692],[0.9182166457176208],0.00030313198826610344,7.752061263810467e-08,0.00027842523707111155
JYX,[0.8366488800851453],[0.8363542556762695],0.00035214821401033657,8.68035423053746e-08,0.00029462440887573216
JYY,[0.5798112643432451],[0.57972651720047],0.0001461633258732394,7.182078208556184e-09,8.47471427751767e-05
JYZ,[0.7501332473545428],[0.7499452829360962],0.00025057470670641555,3.533062260196689e-08,0.00018796441844659562
JZX,[-0.9991944506389123],[-0.9987666010856628],0.00042819448504332984,1.8305524021578126e-07,0.00042784955324948193
JZY,[0.253978106028669],[0.2540877163410187],0.00043157386305302665,1.2014420573395262e-08,0.00010961031234968388
JZZ,[-0.5047147084859811],[-0.5049128532409668],0.0003925876374399339,3.926134392834161e-08,0.00019814475498569628
