,treino,previsto,MAPE,MSE,AE
gamma1,[0.25510242142972195],[0.25509586930274963],2.5684299410382494e-05,4.293036786133188e-11,6.552126972314554e-06
gamma2,[0.779815799401953],[0.779862642288208],6.00691679893244e-05,2.1942559926993562e-09,4.684288625500521e-05
gamma3,[0.0254093514055741],[0.025443125516176224],0.0013292000280934323,1.1406905469645713e-09,3.3774110602124985e-05
gamma4,[0.35218703417241026],[0.3521821200847626],1.3953062352896734e-05,2.4148257409173673e-11,4.9140876476894135e-06
JXX,[-0.4403690528540243],[-0.4403666853904724],5.376089751364649e-06,5.604883669417185e-12,2.3674635518666776e-06
JXY,[0.0042808872494692896],[0.004297229927033186],0.003817591216849366,2.6708310995748283e-10,1.63426775638964e-05
JXZ,[0.12829563294553736],[0.1282758116722107],0.00015449686689713248,3.928828762905617e-10,1.9821273326670052e-05
JYX,[-0.07807628366854513],[-0.07807257026433945],4.756123154439092e-05,1.3789370794800697e-11,3.7134042056852223e-06
JYY,[0.1734731208329543],[0.17349588871002197],0.0001312472904064466,5.183762261687774e-10,2.2767877067675357e-05
JYZ,[-0.02553243332706523],[-0.025530943647027016],5.8344616791165054e-05,2.2191466162520496e-12,1.4896800382135922e-06
JZX,[0.03579855711022262],[0.03576640412211418],0.0008981643592348679,1.0338146443012217e-09,3.215298810843592e-05
JZY,[-0.5955356590317753],[-0.5955658555030823],5.070472414039715e-05,9.118268793930116e-10,3.019647130697578e-05
JZZ,[-0.7792109396740667],[-0.7792384028434753],3.5244845792451365e-05,7.542256739656609e-10,2.7463169408603605e-05
