,treino,previsto,MAPE,MSE,AE
gamma1,[0.444573573873013],[0.44463199377059937],0.0001314065905389538,3.412884434001999e-09,5.841989758637034e-05
gamma2,[0.2210391731572191],[0.22074265778064728],0.001341460757098124,8.792136854353206e-08,0.00029651537657182647
gamma3,[0.45503295884771644],[0.45453429222106934],0.001095891224912326,2.4866840453160227e-07,0.000498666626647104
gamma4,[0.024766967489568525],[0.024696681648492813],0.0028378864350395616,4.9400994557202924e-09,7.028584107571234e-05
JXX,[0.8497305032518905],[0.848868727684021],0.001014175158560857,7.426571293767694e-07,0.0008617755678694827
JXY,[0.8972115559863543],[0.8965070247650146],0.0007852453712158125,4.963642418422988e-07,0.0007045312213396215
JXZ,[0.7848666880971586],[0.7842008471488953],0.0008483490997403127,4.433441683842842e-07,0.0006658409482633854
JYX,[-0.8328986463386328],[-0.832162618637085],0.0008836941983077068,5.41736777445726e-07,0.0007360277015477923
JYY,[0.18405445377147056],[0.1837920844554901],0.0014254983272842551,6.883765796804845e-08,0.00026236931598044855
JYZ,[-0.15250518353007725],[-0.1534539759159088],0.006221377948405557,9.002069914119533e-07,0.000948792385831565
JZX,[0.06017602023601287],[0.060065653175115585],0.00183407045637819,1.2180888131105527e-08,0.00011036706089728732
JZY,[-0.7393941175050389],[-0.7393080592155457],0.0001163902815235424,7.406029190506203e-09,8.605828949326266e-05
JZZ,[-0.6160056849214146],[-0.6156348586082458],0.0006019852125489178,1.3751215453833488e-07,0.00037082631316875947
