,treino,previsto,MAPE,MSE,AE
gamma1,[0.23433096104669637],[0.23334187269210815],0.004220903418695569,9.782957731820304e-07,0.000989088354588219
gamma2,[0.9956448355104628],[0.9899658560752869],0.005703820511723275,3.2250807425151056e-05,0.005678979435175924
gamma3,[0.47026350752244794],[0.46815043687820435],0.004493375757298647,4.465067547564053e-06,0.0021130706442435976
gamma4,[0.8364614512743888],[0.8321067094802856],0.005206147620393571,1.896377609330839e-05,0.004354741794103112
JXX,[-0.5240707458162173],[-0.521115243434906],0.005639510323569375,8.734994325936524e-06,0.002955502381311259
JXY,[0.08845845059190371],[0.08856973797082901],0.001258075154839771,1.2384880708062304e-08,0.0001112873789252955
JXZ,[-0.2600896669038415],[-0.25863099098205566],0.005608357837318951,2.1277354447977545e-06,0.0014586759217858347
JYX,[0.20784007719238895],[0.20611506700515747],0.008299699511921894,2.9756601460523837e-06,0.0017250101872314794
JYY,[0.25144060821610803],[0.25029683113098145],0.004548895634803476,1.308226020460667e-06,0.001143777085126585
JYZ,[-0.8689422815203738],[-0.8646408319473267],0.004950213224198215,1.8502468429467273e-05,0.0043014495730471225
JZX,[-0.9736640168902517],[-0.9688037037849426],0.0049917764454644915,2.3622643481639384e-05,0.0048603131053091
JZY,[0.67493816419292],[0.6715186834335327],0.005066361543618161,1.1692848663819604e-05,0.00341948075938725
JZZ,[-0.4812919713439847],[-0.4795604348182678],0.0035976842100267324,2.9982187398917265e-06,0.0017315365257168924
