,treino,previsto,MAPE,MSE,AE
gamma1,[0.9917405840162875],[0.991544783115387],0.00019743157036853593,3.833799279346488e-08,0.00019580090090054458
gamma2,[0.12236895925038416],[0.1223522201180458],0.0001367923077951469,2.80198551440806e-10,1.6739132338350338e-05
gamma3,[0.14061496110044236],[0.14063510298728943],0.00014324142103685393,4.0569560576014333e-10,2.01418868470693e-05
gamma4,[0.1733197006715852],[0.17336098849773407],0.00023821773283065338,1.7046845880995196e-09,4.12878261488725e-05
JXX,[-0.20502224603708497],[-0.20507259666919708],0.0002455861892324097,2.535186154089769e-09,5.035063211211721e-05
JXY,[-0.6209768603323691],[-0.6210183501243591],6.681374885342419e-05,1.7214028393763537e-09,4.1489791990034774e-05
JXZ,[0.8048786399510626],[0.8047960996627808],0.00010254997981661643,6.812899189643831e-09,8.254028828180715e-05
JYX,[0.25107473156469906],[0.25117722153663635],0.0004082050443649736,1.0504194347706863e-08,0.00010248997193729181
JYY,[0.05334375453651985],[0.05334462970495224],1.6406202375411847e-05,7.659197850527375e-13,8.751684323904385e-07
JYZ,[0.3934534044238047],[0.3934652507305145],3.010853782585676e-05,1.403349826628004e-10,1.1846306709806242e-05
JZX,[0.7049624374714418],[0.7049901485443115],3.93085807083426e-05,7.67903559589607e-10,2.7711072869696096e-05
JZY,[0.37205632722347204],[0.3719152808189392],0.0003790995992069543,1.9894088231638637e-08,0.00014104640453282968
JZZ,[-0.7289865579589982],[-0.7290036082267761],2.338900161014063e-05,2.9071163129720443e-10,1.7050267777873884e-05
