,treino,previsto,MAPE,MSE,AE
gamma1,[0.433483090039801],[0.4274213910102844],0.013983703560293487,3.674419512444234e-05,0.006061699029516587
gamma2,[0.5827558773717127],[0.5631750822067261],0.03360033922488782,0.00038340753929316557,0.019580795164986675
gamma3,[0.09947541503447277],[0.10432117432355881],0.04871313467158454,2.3481383087763623e-05,0.004845759289086038
gamma4,[0.3071740013389854],[0.315234899520874],0.026242123834539305,6.497807949877491e-05,0.008060898181888598
JXX,[-0.7105588947326631],[-0.7675819396972656],0.08025097622070664,0.003251627657035082,0.05702304496460253
JXY,[-0.02020534897708659],[-0.056055355817079544],1.7742829822265296,0.0012852229904275416,0.035850006839992954
JXZ,[0.010200296225074235],[0.0040857684798538685],0.5994460955153159,3.7387449547069654e-05,0.006114527745220366
JYX,[0.9376978550041575],[0.9494423866271973],0.012524857085215063,0.0001379340230445816,0.011744531623039789
JYY,[0.6239745196640374],[0.5662042498588562],0.09258434116233795,0.003337404073363429,0.057770269805181185
JYZ,[0.5803349788037444],[0.5867398381233215],0.011036486776619232,4.1022222903573984e-05,0.0064048593195771275
JZX,[0.3600894847607672],[0.42966750264167786],0.193224242377242,0.004841100572236325,0.06957801788091067
JZY,[-0.6868256663820986],[-0.7143598794937134],0.04008908586170506,0.0007581328916758175,0.027534213111614747
JZZ,[0.826249436041292],[0.8119027614593506],0.017363611950743176,0.0002058270715601231,0.014346674581941388
