,treino,previsto,MAPE,MSE,AE
gamma1,[0.47149733572375285],[0.4669126570224762],0.009723657704744251,2.101927879393981e-05,0.0045846787012766566
gamma2,[0.83833102010331],[0.8434320092201233],0.0060846956565972325,2.602008996984811e-05,0.005100989116813337
gamma3,[0.9959490901086114],[0.9006727337837219],0.09566388209110098,0.009077584074547314,0.09527635632488951
gamma4,[0.5725822051460012],[0.5521108508110046],0.035752690445167865,0.0004190763483089834,0.020471354334996583
JXX,[-0.1579107714267074],[-0.1839832216501236],0.16510875089681548,0.0006797726606525154,0.0260724502234162
JXY,[0.12982945963868775],[0.11222412437200546],0.13560354726637167,0.00030994782985228707,0.017605335266682287
JXZ,[0.1162808953521044],[0.1710105836391449],0.4706679297688262,0.0029953387799966182,0.0547296882870405
JYX,[0.17770025530371414],[0.18125133216381073],0.019983521430666003,1.2610146866313466e-05,0.0035510768600965914
JYY,[0.6015631527261587],[0.5500315427780151],0.08566284306911592,0.0026555068238476066,0.05153160994814354
JYZ,[0.9337535631262239],[0.9360407590866089],0.0024494642384307315,5.23126536120127e-06,0.002287195960384958
JZX,[0.34522097948514796],[0.3258120119571686],0.05622186564943221,0.0003767080205021581,0.01940896752797938
JZY,[0.6176103665600245],[0.5288451910018921],0.14372358425998913,0.007879256391866075,0.08876517555813246
JZZ,[0.14054965261621977],[0.13708487153053284],0.024651651720177116,1.2004707971733901e-05,0.00346478108568693
