,treino,previsto,MAPE,MSE,AE
gamma1,[0.10245584696998078],[0.10243022441864014],0.0002500838370713001,6.565151372038726e-10,2.562255134064273e-05
gamma2,[0.26380664067454207],[0.2638067305088043],3.4053070848248857e-07,8.070194674233026e-15,8.98342622512871e-08
gamma3,[0.9655730932373155],[0.9655581712722778],1.5453998399735857e-05,2.2266504058686275e-10,1.4921965037717477e-05
gamma4,[0.48155277761710846],[0.48152828216552734],5.086763636237581e-05,6.000271481629501e-10,2.44954515811191e-05
JXX,[-0.2963074883442347],[-0.29628363251686096],8.051037625491152e-05,5.69100499685785e-10,2.3855827373742144e-05
JXY,[-0.13962750801980395],[-0.13960033655166626],0.0001945996782656462,7.382886807573823e-10,2.7171468137687782e-05
JXZ,[-0.0926582728208516],[-0.09271994978189468],0.000665639010586104,3.804047523510712e-09,6.167696104308895e-05
JYX,[-0.31306051824349357],[-0.3130896985530853],9.320980414739705e-05,8.514904678708823e-10,2.9180309591758657e-05
JYY,[0.024888729848817848],[0.024899685755372047],0.0004401954869030866,1.200318884243572e-10,1.0955906554199757e-05
JYZ,[-0.21516919708905635],[-0.21527765691280365],0.0005040676138341835,1.1763533367294902e-08,0.00010845982374729779
JZX,[-0.9181825549143148],[-0.9181191921234131],6.900892481844394e-05,4.0148432708511275e-09,6.336279090168873e-05
JZY,[-0.16293478520770655],[-0.16289064288139343],0.0002709202105421536,1.9485449723332982e-09,4.4142326313112434e-05
JZZ,[-0.9526802754794608],[-0.9526157975196838],6.768058648478015e-05,4.157407296995638e-09,6.447795977693183e-05
