,treino,previsto,MAPE,MSE,AE
gamma1,[0.19592491833566006],[0.1958783119916916],0.00023787859331207207,2.172151298107285e-09,4.660634396846941e-05
gamma2,[0.03453679871361848],[0.03450559452176094],0.000903505623560657,9.737015894819632e-10,3.1204191857536756e-05
gamma3,[0.9796207979853099],[0.9795701503753662],5.1701239957162896e-05,2.5651803930057257e-09,5.0647609943665906e-05
gamma4,[0.7048751023416616],[0.7047159075737],0.00022584819272635369,2.5342974146369274e-08,0.00015919476796166787
JXX,[-0.2872035864745557],[-0.2871015965938568],0.0003551135344471311,1.0401935764970086e-08,0.00010198988069887172
JXY,[0.6623205548983861],[0.6622753143310547],6.830615024231339e-05,2.0467089324725047e-09,4.5240567331461534e-05
JXZ,[-0.2952427056704183],[-0.2952677607536316],8.4862666315065e-05,6.277571948236667e-10,2.505508321326566e-05
JYX,[-0.8825503740913454],[-0.8824777007102966],8.234473995163632e-05,5.281420313059896e-09,7.267338104877119e-05
JYY,[-0.05333894071130718],[-0.05329990014433861],0.000731933676371216,1.5241658692276635e-09,3.904056696857339e-05
JYZ,[0.4563627662832759],[0.4563213288784027],9.079926745699233e-05,1.7170585226228513e-09,4.143740487316805e-05
JZX,[0.35697982544055074],[0.3569472134113312],9.135538452155371e-05,1.0635444498173463e-09,3.2612029219558636e-05
JZY,[-0.8706931801415108],[-0.8705952763557434],0.00011244349674524659,9.585151267579236e-09,9.790378576735037e-05
JZZ,[-0.0059663070718503075],[-0.005946303717792034],0.00335271949924458,4.001341735806413e-10,2.000335405827336e-05
