,treino,previsto,MAPE,MSE,AE
gamma1,[0.7065646893037225],[0.7063349485397339],0.0003251517765698485,5.2780818638078664e-08,0.00022974076398862842
gamma2,[0.7244493284983917],[0.7241272926330566],0.0004445250380762753,1.0370709856211356e-07,0.00032203586533507966
gamma3,[0.7659427822583291],[0.7657378911972046],0.00026750178455945187,4.198034692873781e-08,0.0002048910611245347
gamma4,[0.44137775501430254],[0.4412543773651123],0.00027952847144786265,1.5222044319709237e-08,0.0001233776491902372
JXX,[0.42468597565383703],[0.4245463013648987],0.00032888839506252203,1.9508906990434175e-08,0.00013967428893835176
JXY,[0.6795994726237466],[0.6793090105056763],0.00042740191799882333,8.43682420339303e-08,0.00029046211807037814
JXZ,[-0.6348162260909651],[-0.6345701813697815],0.00038758417171957574,6.053800482232217e-08,0.00024604472118361365
JYX,[0.9965652550359014],[0.9962978959083557],0.00026828060299582404,7.148090308200793e-08,0.0002673591275457188
JYY,[-0.6118090425525051],[-0.6116509437561035],0.00025841199689041663,2.49952294236367e-08,0.00015809879640160673
JYZ,[0.34177346053199664],[0.341541051864624],0.0006800079415495193,5.401378866991661e-08,0.0002324086673726189
JZX,[-0.8164267732816153],[-0.8161088228225708],0.00038944148997770275,1.010924944065958e-07,0.0003179504590444804
JZY,[0.5154739618114095],[0.5151883363723755],0.0005541025545311363,8.158189142335806e-08,0.0002856254390339874
JZZ,[-0.6973994850161125],[-0.6973366141319275],9.015045972330063e-05,3.9527480782031356e-09,6.287088418499565e-05
