,treino,previsto,MAPE,MSE,AE
gamma1,[0.4323888389514402],[0.4324224293231964],7.768556616231612e-05,1.128313074720334e-09,3.359037175620916e-05
gamma2,[0.3723746808209262],[0.3723699748516083],1.2637726355408542e-05,2.214614722099231e-11,4.705969317897463e-06
gamma3,[0.852288633190853],[0.8522677421569824],2.451168894788926e-05,4.3643529618238414e-10,2.0891033870595876e-05
gamma4,[0.5469839042910056],[0.5470353960990906],9.41377025557818e-05,2.651406299857004e-09,5.149180808494691e-05
JXX,[-0.9228963213252399],[-0.9229414463043213],4.889496039661472e-05,2.0362637370948944e-09,4.5124979081379024e-05
JXY,[0.3924486452741056],[0.3924081325531006],0.00010323063028216065,1.6412805632310756e-09,4.051272100502601e-05
JXZ,[-0.712133557209278],[-0.7121469378471375],1.8789506159393772e-05,1.7904146952694362e-10,1.3380637859494726e-05
JYX,[-0.0749354903418249],[-0.07490412890911102],0.00041851241075242584,9.835394618667373e-10,3.136143271387226e-05
JYY,[0.34329352823553405],[0.3433334529399872],0.0001162990303322557,1.5939820256698946e-09,3.9924704453131454e-05
JYZ,[0.5859025433105887],[0.585983157157898],0.00013758917456439817,6.4985923780047885e-09,8.061384730928545e-05
JZX,[-0.09362154306757531],[-0.09363800287246704],0.00017581215126792434,2.70925177073919e-10,1.6459804891733043e-05
JZY,[-0.0034555404038976167],[-0.003514896146953106],0.017176978451341477,3.523104233669253e-09,5.9355743055489185e-05
JZZ,[-0.9616857839513044],[-0.9616463780403137],4.0975869299857514e-05,1.5528258210085206e-09,3.940591099071966e-05
