,treino,previsto,MAPE,MSE,AE
gamma1,[0.9998162341661194],[0.9995010495185852],0.0003152425783495019,9.93413620412685e-08,0.0003151846475342168
gamma2,[0.23971518216378862],[0.2397134006023407],7.431992549829033e-06,3.1739611927225973e-12,1.7815614479221864e-06
gamma3,[0.33807775725669986],[0.33802512288093567],0.00015568718921732703,2.7703775120863083e-09,5.2634375764193386e-05
gamma4,[0.7081943329851277],[0.7080326080322266],0.0002283623934399901,2.6154960390869837e-08,0.0001617249529011211
JXX,[0.9304842831042459],[0.9300028681755066],0.0005173810428406626,2.3176033361308554e-07,0.000481414928739321
JXY,[-0.9766906124157178],[-0.97648686170578],0.00020861335959170455,4.151435180012583e-08,0.00020375070993772226
JXZ,[0.4719832395937509],[0.4719465672969818],7.769830301735715e-05,1.3448573503186786e-09,3.6672296769069135e-05
JYX,[-0.6839745504705037],[-0.6838810443878174],0.00013670988580203854,8.743387499341513e-09,9.350608268632321e-05
JYY,[0.9726789033256467],[0.9722762703895569],0.00041394229350831947,1.6211328122427294e-07,0.00040263293608977513
JYZ,[-0.9662386915840475],[-0.965884804725647],0.0003662520053097669,1.2523590854860583e-07,0.0003538868584005428
JZX,[0.7589825362693423],[0.7589176893234253],8.543931226107455e-05,4.205126394764745e-09,6.484694591701867e-05
JZY,[0.3627013288028291],[0.36240240931510925],0.0008241477601047639,8.935286013871136e-08,0.0002989194877198731
JZZ,[0.7146847649630497],[0.7142231464385986],0.0006459050858246594,2.130916621163509e-07,0.00046161852445103513
