,treino,previsto,MAPE,MSE,AE
gamma1,[0.1224371932122491],[0.1250019073486328],0.02094718172718714,6.577758601366417e-06,0.0025647141363837056
gamma2,[0.36368262779173954],[0.3615156412124634],0.0059584550200651185,4.695830834763012e-06,0.0021669865792761644
gamma3,[0.27610317904813664],[0.2647460401058197],0.04113367684309386,0.00012898460495509184,0.011357138942316936
gamma4,[0.7548561847919819],[0.7620835900306702],0.009574545965573476,5.2235386484218446e-05,0.007227405238688256
JXX,[-0.7080903986407061],[-0.6965749859809875],0.01626263070622657,0.00013260472872360648,0.01151541265971856
JXY,[-0.6216493565570518],[-0.5596655011177063],0.099708710039752,0.003841998335125678,0.06198385543934548
JXZ,[0.6782149346653983],[0.6731472015380859],0.0074721638647083834,2.568191904965897e-05,0.005067733127312346
JYX,[0.08109353634994831],[0.06945368647575378],0.14353609915301158,0.0001354861050937864,0.01163984987419453
JYY,[-0.43827709921987545],[-0.4321530759334564],0.013972948386579344,3.750366121260258e-05,0.006124023286419034
JYZ,[-0.3291341864361108],[-0.30385082960128784],0.07681777790570167,0.0006392481328369893,0.025283356834822968
JZX,[0.08661423184359096],[0.08185077458620071],0.05499624202627758,2.2690525042983813e-05,0.004763457257390247
JZY,[-0.34445619760718293],[-0.34942081570625305],0.014412915585661072,2.4647432869614583e-05,0.004964618099070117
JZZ,[0.41979916256951233],[0.4017684757709503],0.04295074503769741,0.00032510566642783844,0.018030686798562012
