,treino,previsto,MAPE,MSE,AE
gamma1,[0.039740932475050506],[0.04913707450032234],0.23643486551732945,8.828748495907953e-05,0.009396142025271836
gamma2,[0.17677089786513922],[0.15464209020137787],0.12518354509147597,0.0004896841286197431,0.022128807663761352
gamma3,[0.034987875506352184],[0.02512429840862751],0.28191414754330835,9.72901531627587e-05,0.009863577097724674
gamma4,[0.43946128473533685],[0.4540278911590576],0.03314650671103695,0.000212186022703583,0.014566606423720763
JXX,[-0.8504124862537785],[-0.9024747014045715],0.061219956188715584,0.0027104742464074613,0.05206221515079301
JXY,[0.5320014716444283],[0.46918052434921265],0.11808416074683921,0.003946471419068269,0.0628209472952157
JXZ,[0.944187335187751],[0.9956448674201965],0.0544992824143455,0.0026478776234531713,0.051457532232445535
JYX,[-0.16941362221762857],[-0.17260675132274628],0.018848124863393916,1.0196073481949822e-05,0.003193129105117709
JYY,[0.889752232974109],[0.9117459058761597],0.024718873509914162,0.00048372164772239823,0.021993672902050676
JYZ,[-0.1410672442944536],[-0.09227794408798218],0.3458584623984868,0.002380395814637193,0.04878930020647143
JZX,[0.24322790321746246],[0.23473870754241943],0.03490222775736837,7.206644320916922e-05,0.008489195675043026
JZY,[0.8389083130549975],[0.7837415337562561],0.06576020101391547,0.0030433735381960388,0.055166779298741364
JZZ,[-0.5924918257624066],[-0.6150722503662109],0.038110947057789946,0.0005098755752880943,0.022580424603804383
