,treino,previsto
gamma1,[0.42217723868822266],[0.48642227053642273]
gamma2,[0.752277576156766],[1.043594241142273]
gamma3,[0.8673128365846117],[0.9574298858642578]
gamma4,[0.5133662267065129],[0.3706628084182739]
JIX,[-0.5802975109269655],[-0.3981531262397766]
JIY,[-0.2292041774699194],[-0.4319627583026886]
JIZ,[-0.6098793712177752],[-0.7649192214012146]
JXI,[-0.208798665868833],[-0.6053025722503662]
JYI,[0.12536156185456337],[-0.13840129971504211]
JZI,[0.29162154792135575],[0.7118809819221497]
JXX,[-0.49062788968221094],[-0.9727250933647156]
JXY,[-0.28781508340846984],[-0.016527391970157623]
JXZ,[-0.6434039479658533],[-0.69215989112854]
JYX,[0.6293799732194609],[0.34595394134521484]
JYY,[-0.4119906324923841],[-0.7437136769294739]
JYZ,[0.7655460513744845],[0.9567031264305115]
JZX,[-0.852570647504473],[-0.9559330344200134]
JZY,[-0.9827666564589634],[-1.1507655382156372]
JZZ,[-0.152297208490475],[-0.6128517985343933]
