,treino,previsto
gamma1,[0.603190610968185],[0.603213369846344]
gamma2,[0.3816059859191179],[0.3816183805465698]
gamma3,[0.28361821790671515],[0.2836054265499115]
gamma4,[0.674964847134956],[0.6749557852745056]
JXX,[0.30694506780235153],[0.3070043921470642]
JXY,[-0.6795408869623607],[-0.6794525384902954]
JXZ,[0.04133871927984911],[0.04156568646430969]
JYX,[-0.3444543767558137],[-0.34434908628463745]
JYY,[-0.5000066466271993],[-0.5000738501548767]
JYZ,[0.9056338182918233],[0.9053234457969666]
JZX,[0.9931139850789104],[0.992975115776062]
JZY,[-0.9108872350991339],[-0.9106296896934509]
JZZ,[0.720322074572582],[0.7197937965393066]
JIX,[0.142805189379827],[0.14259891211986542]
JIY,[-0.14222189064977075],[-0.14207573235034943]
JIZ,[0.15618260226894076],[0.1560194045305252]
JXI,[-0.5878035357209965],[-0.5876191258430481]
JYI,[0.6266425027146401],[0.6265630722045898]
JZI,[0.647177745066891],[0.6469451785087585]
