,treino,previsto
gamma1,[0.4212483616141941],[0.42121264338493347]
gamma2,[0.512633924392356],[0.5123929977416992]
gamma3,[0.7342090787834955],[0.733894944190979]
gamma4,[0.3589963597861997],[0.35901838541030884]
JIX,[0.8497305032518905],[0.849256694316864]
JIY,[0.8972115559863543],[0.8972384929656982]
JIZ,[0.7848666880971586],[0.7847985625267029]
JXI,[-0.8328986463386328],[-0.8323803544044495]
JYI,[0.18405445377147056],[0.18369969725608826]
JZI,[-0.15250518353007725],[-0.15276382863521576]
JXX,[0.06017602023601287],[0.060780689120292664]
JXY,[-0.7393941175050389],[-0.7391176819801331]
JXZ,[-0.6160056849214146],[-0.6158344745635986]
JYX,[-0.11085285225397401],[-0.11088964343070984]
JYY,[-0.5579216536855618],[-0.5579043626785278]
JYZ,[-0.08993408230456712],[-0.08960234373807907]
JZX,[-0.950466065020863],[-0.950298547744751]
JZY,[-0.8284518274474977],[-0.8287237286567688]
JZZ,[0.42001640048982014],[0.41998985409736633]
