,treino,previsto
gamma1,[0.7863044343329872],[0.7824546098709106]
gamma2,[0.9717550117964577],[0.9660446643829346]
gamma3,[0.028791618843824085],[0.02890736237168312]
gamma4,[0.9378945220576308],[0.9300664663314819]
JXX,[0.5288222950287738],[0.5265359878540039]
JXY,[-0.9165274392042873],[-0.9108748435974121]
JXZ,[0.36678988670422896],[0.3636813759803772]
JYX,[0.005474927598498214],[0.004532457794994116]
JYY,[0.2708874110817623],[0.2683212161064148]
JYZ,[0.9074652976162696],[0.9022821187973022]
JZX,[0.9735150597652436],[0.9704334139823914]
JZY,[-0.18171866659490643],[-0.1755523681640625]
JZZ,[0.6882869035295207],[0.6878772377967834]
JIX,[0.49458253244656714],[0.49073296785354614]
JIY,[-0.5944947353081806],[-0.5904151201248169]
JIZ,[-0.5896826918056928],[-0.5938900709152222]
JXI,[0.2015142521860358],[0.20125463604927063]
JYI,[-0.8864854257125787],[-0.8810253143310547]
JZI,[0.5526572011585595],[0.5500399470329285]
