,treino,previsto
gamma1,[0.15715716159662585],[0.15733113884925842]
gamma2,[0.23801220246653276],[0.23767973482608795]
gamma3,[0.11094752797801466],[0.11096084862947464]
gamma4,[0.5062690516689823],[0.5058940052986145]
JIX,[-0.0739852843699571],[-0.07379574328660965]
JIY,[-0.2533761372099159],[-0.2531305253505707]
JIZ,[-0.7229211749710895],[-0.7226372957229614]
JXI,[0.7331236999726827],[0.7329187393188477]
JYI,[-0.9871298918377533],[-0.9868943095207214]
JZI,[0.005564160104416738],[0.005813260097056627]
JXX,[0.7965959400638762],[0.7956023812294006]
JXY,[-0.838370705633998],[-0.8382581472396851]
JXZ,[0.10854093635657214],[0.1085943803191185]
JYX,[0.2333000853672369],[0.2333247810602188]
JYY,[-0.9182084690303769],[-0.9182223677635193]
JYZ,[-0.2419607912091286],[-0.2415604442358017]
JZX,[0.4069607845874941],[0.40648743510246277]
JZY,[-0.09595815909994854],[-0.09593833237886429]
JZZ,[0.4501307371644181],[0.4497888684272766]
