,treino,previsto
gamma1,[0.17618810428468956],[0.15846818685531616]
gamma2,[0.8508752517946389],[0.7533462643623352]
gamma3,[0.8202199870687111],[0.7938583493232727]
gamma4,[0.37585828567644886],[0.4083845019340515]
JIX,[-0.9228963213252399],[-0.9510234594345093]
JIY,[0.3924486452741056],[0.4283045530319214]
JIZ,[-0.712133557209278],[-0.7791191935539246]
JXI,[-0.0749354903418249],[-0.13699233531951904]
JYI,[0.34329352823553405],[0.3546387851238251]
JZI,[0.5859025433105887],[0.9049739241600037]
JXX,[-0.09362154306757531],[-0.23792342841625214]
JXY,[-0.0034555404038976167],[-0.07340474426746368]
JXZ,[-0.9616857839513044],[-0.9628183245658875]
JYX,[-0.1352223220971196],[-0.16491200029850006]
JYY,[-0.25525063835814765],[-0.2981058657169342]
JYZ,[0.704577266381706],[0.7002378702163696]
JZX,[0.09396780858201126],[0.032143741846084595]
JZY,[0.510633676509932],[0.4585287272930145]
JZZ,[-0.13186372229553167],[-0.14857034385204315]
