,treino,previsto
gamma1,[0.4121982082245681],[0.4121663570404053]
gamma2,[0.3921160702731351],[0.3921198844909668]
gamma3,[0.4143186456422864],[0.4141797721385956]
gamma4,[0.14720958617343982],[0.14720050990581512]
JXX,[0.5761022388154311],[0.576086699962616]
JXY,[0.7293919108689626],[0.7292641401290894]
JXZ,[-0.17093465529655072],[-0.17101483047008514]
JYX,[0.6576844368628596],[0.6576558351516724]
JYY,[0.13409102615190394],[0.1341087967157364]
JYZ,[0.6612263399279708],[0.6613474488258362]
JZX,[-0.3576098895078468],[-0.35768571496009827]
JZY,[0.09643259359449252],[0.09637822955846786]
JZZ,[-0.11943636623090592],[-0.11935146152973175]
JIX,[0.36848190482414656],[0.3684413433074951]
JIY,[-0.8083253830463917],[-0.808108389377594]
JIZ,[-0.6661703874666143],[-0.6661489605903625]
JXI,[0.21024771548237609],[0.21049578487873077]
JYI,[-0.34392793595973714],[-0.3438223600387573]
JZI,[0.8292446415583807],[0.8292380571365356]
