,treino,previsto
gamma1,[0.6820517412886784],[0.6687545776367188]
gamma2,[0.1929848757640874],[0.1893353909254074]
gamma3,[0.5536151654982843],[0.5388992428779602]
gamma4,[0.8051240498489732],[0.7809741497039795]
JXX,[-0.05949148587110997],[-0.046379465609788895]
JXY,[0.5194612701957861],[0.5127691030502319]
JXZ,[-0.2536792558523169],[-0.2458932101726532]
JYX,[0.5402796718759804],[0.5213835835456848]
JYY,[-0.45460382865605853],[-0.44452494382858276]
JYZ,[0.6038309663252073],[0.5912644863128662]
JZX,[0.45964966524403206],[0.45545637607574463]
JZY,[-0.17198711766939323],[-0.17619715631008148]
JZZ,[0.07661043911055376],[0.07033566385507584]
JIX,[0.586680167523326],[0.5957102179527283]
JIY,[0.6439080846394536],[0.6012096405029297]
JIZ,[-0.029930744138109366],[0.024921780452132225]
JXI,[-0.47675703411068415],[-0.47256097197532654]
JYI,[-0.999096570229858],[-0.9750664830207825]
JZI,[0.32563712576753523],[0.32468029856681824]
