,treino,previsto
gamma1,[0.8133552610220813],[0.4090253412723541]
gamma2,[0.5073148980567306],[0.34121671319007874]
gamma3,[0.8356936602931708],[0.9438964128494263]
gamma4,[0.1828740263841231],[0.21506789326667786]
JIX,[0.598230738233454],[0.3214980661869049]
JIY,[-0.34818771187492725],[0.17274732887744904]
JIZ,[-0.5190129698346531],[-1.0543402433395386]
JXI,[0.6451117387363627],[0.758305549621582]
JYI,[-0.7698749260257931],[-0.8695895075798035]
JZI,[-0.047526449664778925],[-0.2871094048023224]
JXX,[0.11578945815114117],[-0.8688263297080994]
JXY,[0.22266613301352445],[-0.15190768241882324]
JXZ,[-0.7090570694820459],[-0.3859955370426178]
JYX,[0.2613011697101677],[0.46803542971611023]
JYY,[0.0012395531300626317],[-0.8032179474830627]
JYZ,[0.7022376698246666],[0.16229093074798584]
JZX,[-0.9432975078310775],[-1.1434025764465332]
JZY,[0.9143518581561754],[0.957625150680542]
JZZ,[-0.6546403051549412],[-1.9275600910186768]
