,treino,previsto
gamma1,[0.5739411879281008],[0.6155874133110046]
gamma2,[0.013114189588902203],[0.0014063487760722637]
gamma3,[0.21672980046384815],[0.21394997835159302]
gamma4,[0.2794823660111103],[0.26955005526542664]
JIX,[0.24580338977940386],[0.347549170255661]
JIY,[0.4835739785214588],[0.48556244373321533]
JIZ,[0.5903871311313933],[0.6449586749076843]
JXI,[0.8849005675541006],[1.0197941064834595]
JYI,[0.4797971494798614],[0.5782101154327393]
JZI,[0.844649993330834],[0.8097243905067444]
JXX,[-0.9419895434327705],[-0.8372766375541687]
JXY,[-0.0687546912437893],[-0.2126649171113968]
JXZ,[0.8867134339966274],[0.9306226968765259]
JYX,[0.2979491062738484],[0.2833923399448395]
JYY,[0.8018009835012454],[0.7538635730743408]
JYZ,[-0.7735880706937113],[-0.7278792858123779]
JZX,[-0.06186190443567252],[0.046095188707113266]
JZY,[-0.5068543347603394],[-0.5170570611953735]
JZZ,[0.08752171847186085],[0.05699478089809418]
