,treino,previsto
gamma1,[0.1692370701348863],[0.17481501400470734]
gamma2,[0.3602371232890349],[0.35840195417404175]
gamma3,[0.44091632364843825],[0.36412176489830017]
gamma4,[0.2288147816548517],[0.18582022190093994]
JIX,[0.23428295333990445],[-0.08973851799964905]
JIY,[0.7802771064051002],[0.5303976535797119]
JIZ,[-0.0870255604078809],[-0.14860309660434723]
JXI,[0.42280951861583915],[0.5331918597221375]
JYI,[0.8739626067564656],[0.7950612306594849]
JZI,[0.041119655381228304],[0.49047189950942993]
JXX,[0.46768034181955564],[0.3672132194042206]
JXY,[0.45606486545824554],[0.45856714248657227]
JXZ,[0.7163732339305475],[0.7416250109672546]
JYX,[-0.9264151318174876],[-1.0262975692749023]
JYY,[-0.661415621972901],[-0.5408046245574951]
JYZ,[0.9939517430031608],[0.9004068970680237]
JZX,[0.4936040808612847],[0.40630924701690674]
JZY,[-0.47800393580086764],[-0.7528494000434875]
JZZ,[0.48488572323438395],[0.9739774465560913]
