,treino,previsto
gamma1,[0.9274756314280604],[0.9153251647949219]
gamma2,[0.8289200487784194],[0.7532002329826355]
gamma3,[0.8066523467023234],[0.6503076553344727]
gamma4,[0.8004478385429662],[0.9639442563056946]
JIX,[-0.527903820525131],[-0.3053075969219208]
JIY,[-0.7936679315385684],[-0.7495422959327698]
JIZ,[-0.20788351477863798],[-0.5804443955421448]
JXI,[-0.6900554583951795],[-0.9402034282684326]
JYI,[-0.8669698086408202],[-0.9453710913658142]
JZI,[-0.19681797102985032],[0.039386361837387085]
JXX,[0.8359100861754378],[0.5815535187721252]
JXY,[0.600904702991617],[0.266846239566803]
JXZ,[0.5303252050108769],[0.30002716183662415]
JYX,[-0.5561436486193647],[-0.13788160681724548]
JYY,[0.07336001634962708],[-0.10444852709770203]
JYZ,[-0.44663471311709957],[-0.7126970291137695]
JZX,[-0.6546709414292622],[-0.7318258285522461]
JZY,[-0.7876334151369397],[-0.7542706727981567]
JZZ,[-0.571199134842167],[-0.7499023079872131]
