,treino,previsto
gamma1,[0.24226755574639336],[0.2421162724494934]
gamma2,[0.3055582060124523],[0.3074295222759247]
gamma3,[0.2523120847554935],[0.25231388211250305]
gamma4,[0.41210709911609533],[0.4104504883289337]
JXX,[0.11579696496935821],[0.11443384736776352]
JXY,[-0.9168161896383005],[-0.9154287576675415]
JXZ,[0.7764692864270932],[0.7770577669143677]
JYX,[0.630126152520613],[0.6299340724945068]
JYY,[-0.2637592699233906],[-0.2650452256202698]
JYZ,[-0.8583209270734289],[-0.8523634076118469]
JZX,[-0.12423623395790906],[-0.1273895502090454]
JZY,[0.3453540669849615],[0.3415531814098358]
JZZ,[0.6439525830042963],[0.6396632194519043]
JIX,[-0.6109255041336379],[-0.617861807346344]
JIY,[0.6121546029321616],[0.607670247554779]
JIZ,[-0.25588029746786645],[-0.26594221591949463]
JXI,[0.6840539845332714],[0.6912873387336731]
JYI,[0.5925904370985218],[0.5962823033332825]
JZI,[0.1486956182422896],[0.15319006145000458]
