,treino,previsto
gamma1,[0.6556656514896784],[0.6545515060424805]
gamma2,[0.7707825372818101],[0.7688765525817871]
gamma3,[0.6486473098880531],[0.647732138633728]
gamma4,[0.7519567103881644],[0.7514919638633728]
JXX,[-0.654314601549209],[-0.6542894840240479]
JXY,[-0.7562164546869965],[-0.752748966217041]
JXZ,[-0.6778506698956863],[-0.6759743690490723]
JYX,[-0.9340598937863975],[-0.9335780143737793]
JYY,[0.10681764632445323],[0.10538098216056824]
JYZ,[-0.7618314373676482],[-0.7571595907211304]
JZX,[0.24341659002924376],[0.2408176213502884]
JZY,[-0.26427903177630796],[-0.265040785074234]
JZZ,[0.8135483283424336],[0.8138397932052612]
JIX,[0.8246867187194984],[0.8213670253753662]
JIY,[-0.011300505399674421],[-0.009679966606199741]
JIZ,[0.13160290901296068],[0.12853574752807617]
JXI,[-0.2934101986418025],[-0.29258716106414795]
JYI,[-0.7727670059828655],[-0.7689409852027893]
JZI,[-0.28923988122014976],[-0.2836087942123413]
