,treino,previsto
gamma1,[0.9059729815293226],[0.9094712734222412]
gamma2,[0.05882432741086607],[0.06422242522239685]
gamma3,[0.8188201278420804],[0.8228380084037781]
gamma4,[0.07460963363587747],[0.07254485040903091]
JIX,[-0.05085864262290385],[-0.07227315753698349]
JIY,[0.31494500531451064],[0.3365119397640228]
JIZ,[0.3328209422496762],[0.3651062250137329]
JXI,[-0.7147992941492645],[-0.7337169051170349]
JYI,[-0.9782791138198641],[-1.0380940437316895]
JZI,[-0.25049101587327116],[-0.24473902583122253]
JXX,[-0.4519037210433372],[-0.44422638416290283]
JXY,[0.6206961044701675],[0.6027286648750305]
JXZ,[0.3811853060773691],[0.3388616442680359]
JYX,[0.2029140774554663],[0.19689011573791504]
JYY,[0.11638009550669604],[0.12121899425983429]
JYZ,[0.322642171744002],[0.2794516682624817]
JZX,[-0.709394410579794],[-0.6962008476257324]
JZY,[-0.11989041615046037],[-0.11076544970273972]
JZZ,[-0.6754653552222227],[-0.6851447820663452]
