,treino,previsto
gamma1,[0.5808813852633757],[0.4724067151546478]
gamma2,[0.7594878838401685],[0.7478646039962769]
gamma3,[0.2084530917276468],[0.14561070501804352]
gamma4,[0.062205782406492105],[0.07677511870861053]
JIX,[0.5830518719229318],[0.5625704526901245]
JIY,[-0.9379325277179429],[-0.7981576919555664]
JIZ,[0.6754839419077516],[0.5259637236595154]
JXI,[-0.3650404551155011],[-0.07902286946773529]
JYI,[-0.9759637002846477],[-0.9644042253494263]
JZI,[-0.8606398745222861],[-1.090093731880188]
JXX,[0.004466619199896327],[-0.03186947852373123]
JXY,[0.2631832108452503],[0.2826518714427948]
JXZ,[0.642755936407096],[0.5401440858840942]
JYX,[0.6342042740943745],[0.42892885208129883]
JYY,[-0.794756935787041],[-0.5277085900306702]
JYZ,[0.727560333989069],[0.7165752649307251]
JZX,[-0.8084007354409559],[-1.011125087738037]
JZY,[0.6392892064009212],[0.625819981098175]
JZZ,[-0.07912719249258626],[-0.0842285305261612]
