,treino,previsto
gamma1,[0.9562050372570121],[1.0428974628448486]
gamma2,[0.25350600496212594],[0.25012338161468506]
gamma3,[0.8935407039073096],[0.845811128616333]
gamma4,[0.8076368242952832],[0.7265937328338623]
JIX,[-0.2769544501718497],[-0.3321932852268219]
JIY,[-0.039038668797412024],[-0.0450051985681057]
JIZ,[-0.16609474678867042],[-0.13990730047225952]
JXI,[-0.10648149243215355],[-0.04652099683880806]
JYI,[-0.1809685401002077],[-0.19647221267223358]
JZI,[0.31541165278854155],[0.22765985131263733]
JXX,[-0.48228923621984343],[-0.47021496295928955]
JXY,[0.2699918482069683],[0.24940219521522522]
JXZ,[-0.97974325274531],[-0.9062182903289795]
JYX,[-0.39591259040070836],[-0.3548602759838104]
JYY,[-0.32987329860456205],[-0.2874499559402466]
JYZ,[-0.7160989649343319],[-0.8924117088317871]
JZX,[0.4868285000638355],[0.40003272891044617]
JZY,[-0.3797834959301094],[-0.34550532698631287]
JZZ,[0.5784839871578018],[0.5771850943565369]
