,treino,previsto
gamma1,[0.9562050372570121],[0.9546687602996826]
gamma2,[0.25350600496212594],[0.2535440921783447]
gamma3,[0.8935407039073096],[0.8896613717079163]
gamma4,[0.8076368242952832],[0.8001406192779541]
JXX,[-0.48228923621984343],[-0.47802963852882385]
JXY,[0.2699918482069683],[0.270071804523468]
JXZ,[-0.97974325274531],[-0.9768387079238892]
JYX,[-0.39591259040070836],[-0.39541351795196533]
JYY,[-0.32987329860456205],[-0.32719284296035767]
JYZ,[-0.7160989649343319],[-0.7157118320465088]
JZX,[0.4868285000638355],[0.48261594772338867]
JZY,[-0.3797834959301094],[-0.3779865503311157]
JZZ,[0.5784839871578018],[0.5740934014320374]
JIX,[-0.2769544501718497],[-0.27403903007507324]
JIY,[-0.039038668797412024],[-0.03862524405121803]
JIZ,[-0.16609474678867042],[-0.16219592094421387]
JXI,[-0.10648149243215355],[-0.10395386815071106]
JYI,[-0.1809685401002077],[-0.18090073764324188]
JZI,[0.31541165278854155],[0.31206297874450684]
