,treino,previsto
gamma1,[0.46996047909566496],[0.4573301374912262]
gamma2,[0.07344097236025571],[0.05171963945031166]
gamma3,[0.5535311897079374],[0.5090887546539307]
gamma4,[0.37664963051624745],[0.3892296850681305]
JIX,[0.16151432986791336],[0.20077909529209137]
JIY,[-0.5885520020378399],[-0.5303381085395813]
JIZ,[0.28393873546227],[0.0077882627956569195]
JXI,[0.8929708779032515],[1.4353119134902954]
JYI,[-0.9175870687900451],[-0.898940920829773]
JZI,[-0.10120076827109403],[-0.011172194965183735]
JXX,[-0.2931088962646198],[-0.44718149304389954]
JXY,[-0.4241611986546143],[-0.5487157702445984]
JXZ,[0.7538488993092554],[1.186545491218567]
JYX,[0.933461896331194],[0.9959937334060669]
JYY,[0.6077893468042093],[0.5656378269195557]
JYZ,[-0.1619387971769919],[-0.17346777021884918]
JZX,[0.7436744955183132],[0.6778280735015869]
JZY,[-0.79078137856082],[-0.8486994504928589]
JZZ,[-0.020704221524552313],[0.14896999299526215]
