,treino,previsto
gamma1,[0.9723752503414661],[0.9794870615005493]
gamma2,[0.3289191945502741],[0.30327215790748596]
gamma3,[0.6037845231084645],[0.5963694453239441]
gamma4,[0.6074942084317443],[0.6292556524276733]
JIX,[-0.004926862482795391],[0.041467029601335526]
JIY,[-0.4676525538549188],[-0.47235217690467834]
JIZ,[0.27482232288738184],[0.255217045545578]
JXI,[-0.5150404916324747],[-0.5050148367881775]
JYI,[-0.053662840025089587],[-0.03080740198493004]
JZI,[0.9406722982235067],[0.9363886713981628]
JXX,[-0.8296238699780065],[-0.8347769975662231]
JXY,[-0.36524216496358974],[-0.3716672658920288]
JXZ,[0.35288790697896677],[0.3442370295524597]
JYX,[-0.8295173655407848],[-0.8441490530967712]
JYY,[-0.6933649428609245],[-0.6489701271057129]
JYZ,[0.650547699608063],[0.6820482611656189]
JZX,[0.9594457052278216],[0.979416012763977]
JZY,[-0.3613227125647036],[-0.38361623883247375]
JZZ,[-0.6220620264300913],[-0.5538024306297302]
