,treino,previsto
gamma1,[0.32815001334865257],[0.32807356119155884]
gamma2,[0.2737581923538134],[0.2738501727581024]
gamma3,[0.6737605112059536],[0.6736718416213989]
gamma4,[0.9727359863624989],[0.9725200533866882]
JIX,[-0.10972154968635439],[-0.10969008505344391]
JIY,[-0.4118230353222292],[-0.4117838740348816]
JIZ,[0.8188577481051011],[0.8184847235679626]
JXI,[-0.031387304368323043],[-0.031097447499632835]
JYI,[-0.8259080739809848],[-0.8256385922431946]
JZI,[0.4999159288187607],[0.499695748090744]
JXX,[-0.849123527714404],[-0.8489900231361389]
JXY,[-0.5949888037030053],[-0.5949865579605103]
JXZ,[-0.8521523054463589],[-0.8517698049545288]
JYX,[0.25641529719452016],[0.256250262260437]
JYY,[0.6850666514970689],[0.6849561929702759]
JYZ,[0.2223887601504444],[0.22252163290977478]
JZX,[-0.555055593525728],[-0.5549885630607605]
JZY,[0.6900198748973474],[0.6898138523101807]
JZZ,[0.7430289704795401],[0.7428576350212097]
