,treino,previsto
gamma1,[0.46996047909566496],[0.4689368009567261]
gamma2,[0.07344097236025571],[0.07338449358940125]
gamma3,[0.5535311897079374],[0.5538125038146973]
gamma4,[0.37664963051624745],[0.3765707314014435]
JXX,[-0.2931088962646198],[-0.29153212904930115]
JXY,[-0.4241611986546143],[-0.4222467541694641]
JXZ,[0.7538488993092554],[0.747832179069519]
JYX,[0.933461896331194],[0.9317501187324524]
JYY,[0.6077893468042093],[0.6073567271232605]
JYZ,[-0.1619387971769919],[-0.16059720516204834]
JZX,[0.7436744955183132],[0.74420565366745]
JZY,[-0.79078137856082],[-0.790190577507019]
JZZ,[-0.020704221524552313],[-0.02322259545326233]
JIX,[0.16151432986791336],[0.16011762619018555]
JIY,[-0.5885520020378399],[-0.5895057320594788]
JIZ,[0.28393873546227],[0.29001718759536743]
JXI,[0.8929708779032515],[0.8857542276382446]
JYI,[-0.9175870687900451],[-0.9149547219276428]
JZI,[-0.10120076827109403],[-0.10328079760074615]
