,treino,previsto
gamma1,[0.5139289405222758],[0.5142181515693665]
gamma2,[0.2979079699160261],[0.2983710765838623]
gamma3,[0.5798623379994603],[0.5796591639518738]
gamma4,[0.9610460637489058],[0.9605708122253418]
JXX,[-0.0993246484870236],[-0.0974956601858139]
JXY,[0.5258626616390383],[0.5268477201461792]
JXZ,[0.21218691768397302],[0.2113853245973587]
JYX,[0.8117454546265361],[0.8110081553459167]
JYY,[-0.4226432633318953],[-0.42080438137054443]
JYZ,[-0.2842197832227855],[-0.2838195562362671]
JZX,[-0.3905193107940479],[-0.38997459411621094]
JZY,[-0.7355236768235658],[-0.7348222732543945]
JZZ,[-0.8493298111601335],[-0.846682071685791]
JIX,[0.011880827540495353],[0.011596339754760265]
JIY,[-0.09343057367074792],[-0.09185533225536346]
JIZ,[0.11594165163533754],[0.11631172150373459]
JXI,[-0.23155824126417013],[-0.23278853297233582]
JYI,[0.6690422746144482],[0.6682627201080322]
JZI,[-0.6811824865810532],[-0.6796531081199646]
