,treino,previsto
gamma1,[0.7808225146632043],[0.7850052714347839]
gamma2,[0.4458428536123128],[0.37970083951950073]
gamma3,[0.09635672042981958],[0.1371525675058365]
gamma4,[0.031698349795664105],[0.04402322694659233]
JIX,[0.819538475847744],[0.8868937492370605]
JIY,[-0.41184191848264295],[-0.38280829787254333]
JIZ,[-0.08113224133756103],[0.025622118264436722]
JXI,[-0.7272825789128776],[-0.694120466709137]
JYI,[0.9901214406925392],[0.8904820084571838]
JZI,[-0.6907120075849054],[-0.5958278775215149]
JXX,[0.3478791069281282],[0.4271720051765442]
JXY,[0.19605110908336165],[0.3139989674091339]
JXZ,[0.4292474339778447],[0.4975970387458801]
JYX,[-0.17894815197709124],[-0.21523405611515045]
JYY,[-0.2398214007224022],[-0.21453198790550232]
JYZ,[-0.20020701514138461],[-0.20738352835178375]
JZX,[-0.8548967912090066],[-0.7984231114387512]
JZY,[-0.36047022384573424],[-0.2653661072254181]
JZZ,[-0.448333704823876],[-0.2527416944503784]
