,treino,previsto
gamma1,[0.8910014249020605],[0.8877204060554504]
gamma2,[0.7256231705114251],[0.7228448390960693]
gamma3,[0.6030415461917914],[0.6027370691299438]
gamma4,[0.12576437488319592],[0.12608514726161957]
JXX,[-0.6067349693132549],[-0.6058826446533203]
JXY,[-0.0025512448825091294],[-0.004108872264623642]
JXZ,[0.102887313876878],[0.10273907333612442]
JYX,[0.4785514826590247],[0.4777090549468994]
JYY,[0.2172048114281706],[0.21554580330848694]
JYZ,[0.08980451445275595],[0.08988300710916519]
JZX,[0.512200023491431],[0.5119760036468506]
JZY,[-0.4773501526471249],[-0.478527307510376]
JZZ,[-0.06524146499333172],[-0.06368931382894516]
JIX,[0.463062260800422],[0.462434858083725]
JIY,[0.8281235810354926],[0.8264757990837097]
JIZ,[-0.9253401087353526],[-0.9234238862991333]
JXI,[-0.9912169497951127],[-0.9894655346870422]
JYI,[0.9869002798407656],[0.9836637377738953]
JZI,[-0.3629632766081221],[-0.3636854290962219]
