,treino,previsto
gamma1,[0.603190610968185],[0.6031157374382019]
gamma2,[0.3816059859191179],[0.38158565759658813]
gamma3,[0.28361821790671515],[0.2836270034313202]
gamma4,[0.674964847134956],[0.6747626662254333]
JIX,[0.142805189379827],[0.14256973564624786]
JIY,[-0.14222189064977075],[-0.14217771589756012]
JIZ,[0.15618260226894076],[0.15580444037914276]
JXI,[-0.5878035357209965],[-0.5876059532165527]
JYI,[0.6266425027146401],[0.6266746520996094]
JZI,[0.647177745066891],[0.6473208665847778]
JXX,[0.30694506780235153],[0.3067825734615326]
JXY,[-0.6795408869623607],[-0.6794946193695068]
JXZ,[0.04133871927984911],[0.04150448739528656]
JYX,[-0.3444543767558137],[-0.34424400329589844]
JYY,[-0.5000066466271993],[-0.49999433755874634]
JYZ,[0.9056338182918233],[0.9054850339889526]
JZX,[0.9931139850789104],[0.992861270904541]
JZY,[-0.9108872350991339],[-0.9104635715484619]
JZZ,[0.720322074572582],[0.7202021479606628]
