,treino,previsto
gamma1,[0.7863044343329872],[0.6814128160476685]
gamma2,[0.9717550117964577],[0.8969643712043762]
gamma3,[0.028791618843824085],[0.07359433174133301]
gamma4,[0.9378945220576308],[0.6167613863945007]
JIX,[0.49458253244656714],[0.5583874583244324]
JIY,[-0.5944947353081806],[-0.8317837715148926]
JIZ,[-0.5896826918056928],[-0.9206851124763489]
JXI,[0.2015142521860358],[0.33052879571914673]
JYI,[-0.8864854257125787],[-0.9291471242904663]
JZI,[0.5526572011585595],[0.16304679214954376]
JXX,[0.5288222950287738],[0.2483520656824112]
JXY,[-0.9165274392042873],[-0.6901618838310242]
JXZ,[0.36678988670422896],[0.15632401406764984]
JYX,[0.005474927598498214],[0.16291207075119019]
JYY,[0.2708874110817623],[0.33542922139167786]
JYZ,[0.9074652976162696],[0.8734032511711121]
JZX,[0.9735150597652436],[1.2287417650222778]
JZY,[-0.18171866659490643],[-0.18193267285823822]
JZZ,[0.6882869035295207],[1.0780552625656128]
