,treino,previsto
gamma1,[0.5739411879281008],[0.5936440229415894]
gamma2,[0.013114189588902203],[0.008788333274424076]
gamma3,[0.21672980046384815],[0.2153816521167755]
gamma4,[0.2794823660111103],[0.27718284726142883]
JIX,[0.24580338977940386],[0.27957087755203247]
JIY,[0.4835739785214588],[0.4835037887096405]
JIZ,[0.5903871311313933],[0.6151098608970642]
JXI,[0.8849005675541006],[0.9399048686027527]
JYI,[0.4797971494798614],[0.5209488868713379]
JZI,[0.844649993330834],[0.8314236402511597]
JXX,[-0.9419895434327705],[-0.9060496687889099]
JXY,[-0.0687546912437893],[-0.12832419574260712]
JXZ,[0.8867134339966274],[0.9032469987869263]
JYX,[0.2979491062738484],[0.2914677858352661]
JYY,[0.8018009835012454],[0.7824379205703735]
JYZ,[-0.7735880706937113],[-0.7516236901283264]
JZX,[-0.06186190443567252],[-0.02228200063109398]
JZY,[-0.5068543347603394],[-0.5109816789627075]
JZZ,[0.08752171847186085],[0.07516026496887207]
