,treino,previsto
gamma1,[0.13948974986003737],[0.13949386775493622]
gamma2,[0.163836144803976],[0.1640002429485321]
gamma3,[0.46443579215550523],[0.46375757455825806]
gamma4,[0.8613332758638482],[0.8599659204483032]
JXX,[0.7049624374714418],[0.7045634984970093]
JXY,[0.37205632722347204],[0.37178999185562134]
JXZ,[-0.7289865579589982],[-0.7286466956138611]
JYX,[0.983481168032575],[0.9826705455780029]
JYY,[-0.7552620814992317],[-0.7542823553085327]
JYZ,[-0.7187700777991153],[-0.7173031568527222]
JZX,[-0.6533605986568296],[-0.6528595685958862]
JZY,[-0.17959942931413186],[-0.17901018261909485]
JZZ,[0.33965764099196205],[0.33919769525527954]
JIX,[-0.20502224603708497],[-0.20415887236595154]
JIY,[-0.6209768603323691],[-0.6195245385169983]
JIZ,[0.8048786399510626],[0.8024018406867981]
JXI,[0.25107473156469906],[0.25169306993484497]
JYI,[0.05334375453651985],[0.054370585829019547]
JZI,[0.3934534044238047],[0.3933868110179901]
