,treino,previsto
gamma1,[0.16722420906574653],[0.18309827148914337]
gamma2,[0.7281792514390089],[0.7530521154403687]
gamma3,[0.45794494925975726],[0.4744947850704193]
gamma4,[0.5049149694368028],[0.5174731612205505]
JIX,[-0.8583821458818548],[-0.845432460308075]
JIY,[-0.1308244925173181],[-0.13585542142391205]
JIZ,[-0.5075004579580764],[-0.5613256692886353]
JXI,[-0.10862841764031073],[-0.20911821722984314]
JYI,[-0.48782436581795374],[-0.5787187218666077]
JZI,[0.7229725984230293],[0.6152107119560242]
JXX,[0.12087053202375708],[0.04009317234158516]
JXY,[0.48856793143996136],[0.4577103853225708]
JXZ,[0.8530443734443238],[0.8253344893455505]
JYX,[-0.010164243217845925],[-0.08336236327886581]
JYY,[-0.06292454119659796],[-0.16746112704277039]
JYZ,[-0.7440855515429825],[-0.7456814050674438]
JZX,[0.5685450839408246],[0.5771129131317139]
JZY,[-0.8610006166330297],[-0.9269140958786011]
JZZ,[-0.27322762119529287],[-0.42103105783462524]
