,treino,previsto
gamma1,[0.17618810428468956],[0.1523841917514801]
gamma2,[0.8508752517946389],[0.6568866968154907]
gamma3,[0.8202199870687111],[0.7630953192710876]
gamma4,[0.37585828567644886],[0.41513893008232117]
JIX,[-0.9228963213252399],[-0.9530376195907593]
JIY,[0.3924486452741056],[0.4637010395526886]
JIZ,[-0.712133557209278],[-0.7770765423774719]
JXI,[-0.0749354903418249],[-0.18352223932743073]
JYI,[0.34329352823553405],[0.3671337068080902]
JZI,[0.5859025433105887],[1.1403343677520752]
JXX,[-0.09362154306757531],[-0.3470528721809387]
JXY,[-0.0034555404038976167],[-0.13115577399730682]
JXZ,[-0.9616857839513044],[-0.9850096702575684]
JYX,[-0.1352223220971196],[-0.17401693761348724]
JYY,[-0.25525063835814765],[-0.30379509925842285]
JYZ,[0.704577266381706],[0.7308132648468018]
JZX,[0.09396780858201126],[-0.012500663287937641]
JZY,[0.510633676509932],[0.41140902042388916]
JZZ,[-0.13186372229553167],[-0.15106318891048431]
