,treino,previsto
gamma1,[0.603190610968185],[0.5745941996574402]
gamma2,[0.3816059859191179],[0.3210235834121704]
gamma3,[0.28361821790671515],[0.3000029921531677]
gamma4,[0.674964847134956],[0.6681733727455139]
JIX,[0.142805189379827],[0.25263962149620056]
JIY,[-0.14222189064977075],[-0.19705119729042053]
JIZ,[0.15618260226894076],[0.17682848870754242]
JXI,[-0.5878035357209965],[-0.5400764346122742]
JYI,[0.6266425027146401],[0.6926587224006653]
JZI,[0.647177745066891],[0.8448573350906372]
JXX,[0.30694506780235153],[0.21363720297813416]
JXY,[-0.6795408869623607],[-0.7327766418457031]
JXZ,[0.04133871927984911],[0.037739723920822144]
JYX,[-0.3444543767558137],[-0.3953527510166168]
JYY,[-0.5000066466271993],[-0.4835107922554016]
JYZ,[0.9056338182918233],[0.8571727871894836]
JZX,[0.9931139850789104],[0.9941383600234985]
JZY,[-0.9108872350991339],[-1.074135184288025]
JZZ,[0.720322074572582],[0.5979741811752319]
