,treino,previsto
gamma1,[0.32611987261685993],[0.32612138986587524]
gamma2,[0.07355343057826824],[0.07357558608055115]
gamma3,[0.8415228969062091],[0.8412160873413086]
gamma4,[0.6172199559140832],[0.6167201399803162]
JXX,[-0.7666989331142724],[-0.7664528489112854]
JXY,[-0.9823887482258662],[-0.9820912480354309]
JXZ,[-0.6866193298332723],[-0.6861628293991089]
JYX,[0.02742641700535131],[0.027153225615620613]
JYY,[0.9789858207551021],[0.978330135345459]
JYZ,[0.38702052286287625],[0.3867664337158203]
JZX,[-0.24314685775343814],[-0.24290257692337036]
JZY,[-0.18990452936148783],[-0.1898069828748703]
JZZ,[0.3826192568247586],[0.38288334012031555]
JIX,[-0.1829282414910125],[-0.18307891488075256]
JIY,[0.0839440182091924],[0.0839661955833435]
JIZ,[0.7240732329585464],[0.7237296104431152]
JXI,[-0.6466687116091123],[-0.6458870768547058]
JYI,[-0.5496809588437066],[-0.5500409603118896]
JZI,[-0.9418054934637778],[-0.9415133595466614]
