,treino,previsto
gamma1,[0.3375473620472763],[0.3108958899974823]
gamma2,[0.4335188106185648],[0.39716917276382446]
gamma3,[0.14416802024761088],[0.157913476228714]
gamma4,[0.7287254214522619],[0.7314043641090393]
JIX,[-0.01102512804113065],[0.09639260172843933]
JIY,[0.11338346029479829],[0.00925367884337902]
JIZ,[0.6194855109905537],[0.4633776545524597]
JXI,[-0.358768861095224],[-0.32642874121665955]
JYI,[-0.35806504184041565],[-0.2614136338233948]
JZI,[0.38633367460551105],[0.2926187217235565]
JXX,[-0.02766565445920155],[-0.06592319160699844]
JXY,[-0.2813102593254373],[-0.272522896528244]
JXZ,[-0.188999914209238],[-0.2514078617095947]
JYX,[-0.340400904802481],[-0.29893162846565247]
JYY,[-0.6648234377107922],[-0.496981680393219]
JYZ,[0.26359431455016225],[0.303852915763855]
JZX,[0.7875587270091329],[0.9970417618751526]
JZY,[0.3776271654931602],[0.40558093786239624]
JZZ,[0.2695593710882205],[0.2929045259952545]
