,treino,previsto
gamma1,[0.3642906472729208],[0.36823537945747375]
gamma2,[0.9552362077987966],[0.9269822239875793]
gamma3,[0.01127596271534248],[0.012206651270389557]
gamma4,[0.7216819040125406],[0.7086474895477295]
JIX,[0.09738921128764444],[0.21607254445552826]
JIY,[0.5010819007713414],[0.6001403331756592]
JIZ,[0.49461345881920815],[0.38649260997772217]
JXI,[0.7300902479000198],[0.8216711282730103]
JYI,[-0.42818641019276615],[-0.3195967972278595]
JZI,[0.9311449267290317],[0.6187238693237305]
JXX,[0.13348005804138263],[0.07332080602645874]
JXY,[0.4947781939171796],[0.6067685484886169]
JXZ,[0.5097966322719836],[0.4936508536338806]
JYX,[0.8583989113564305],[0.7922439575195312]
JYY,[-0.45177555601451247],[-0.408357709646225]
JYZ,[-0.2667563735632268],[-0.1931418925523758]
JZX,[0.434689013949763],[0.5483494400978088]
JZY,[0.1705933202916765],[0.2142494022846222]
JZZ,[0.5007357462750803],[0.3830225169658661]
