,treino,previsto
gamma1,[0.3375473620472763],[0.3375943601131439]
gamma2,[0.4335188106185648],[0.43350183963775635]
gamma3,[0.14416802024761088],[0.1442965716123581]
gamma4,[0.7287254214522619],[0.7285392880439758]
JXX,[-0.02766565445920155],[-0.027538251131772995]
JXY,[-0.2813102593254373],[-0.28117844462394714]
JXZ,[-0.188999914209238],[-0.18940797448158264]
JYX,[-0.340400904802481],[-0.3403404653072357]
JYY,[-0.6648234377107922],[-0.6652527451515198]
JYZ,[0.26359431455016225],[0.2635694146156311]
JZX,[0.7875587270091329],[0.7875324487686157]
JZY,[0.3776271654931602],[0.3772640526294708]
JZZ,[0.2695593710882205],[0.2696491777896881]
JIX,[-0.01102512804113065],[-0.01124909520149231]
JIY,[0.11338346029479829],[0.11277396976947784]
JIZ,[0.6194855109905537],[0.6194391250610352]
JXI,[-0.358768861095224],[-0.35889583826065063]
JYI,[-0.35806504184041565],[-0.3585156202316284]
JZI,[0.38633367460551105],[0.3865746259689331]
