,treino,previsto
gamma1,[0.4494007558523254],[0.40454965829849243]
gamma2,[0.20865257233244294],[0.15695735812187195]
gamma3,[0.316903983245593],[0.2797142565250397]
gamma4,[0.9086358448961127],[0.7314493060112]
JIX,[0.8112793523490414],[0.5437119603157043]
JIY,[0.3725083140534051],[0.31601908802986145]
JIZ,[0.5330185127252884],[0.6439979076385498]
JXI,[0.8092324756265472],[0.6860491633415222]
JYI,[-0.4803451050220462],[-0.4482131600379944]
JZI,[0.2714517392119784],[0.06760795414447784]
JXX,[0.8098913893329576],[0.8627623915672302]
JXY,[0.7442607481394212],[0.6930298805236816]
JXZ,[0.14588133849844365],[0.08678697049617767]
JYX,[-0.6612438257488602],[-0.6463169455528259]
JYY,[-0.17695387591808664],[-0.21566970646381378]
JYZ,[0.9876760255546593],[0.9519714117050171]
JZX,[-0.7935044001776401],[-0.8451151251792908]
JZY,[-0.36172170230142053],[-0.18624751269817352]
JZZ,[0.9000782159070004],[0.7592656016349792]
