,treino,previsto
gamma1,[0.92965859608353],[0.9296920895576477]
gamma2,[0.5569854761423373],[0.5570741295814514]
gamma3,[0.3846514573686475],[0.3843691647052765]
gamma4,[0.030345543681900566],[0.03036087192595005]
JIX,[0.9318383760498881],[0.9320286512374878]
JIY,[0.11951182799780913],[0.1196558028459549]
JIZ,[-0.05265622357871269],[-0.05273638293147087]
JXI,[0.046558950858430315],[0.046253450214862823]
JYI,[0.5353201261569036],[0.5350823402404785]
JZI,[0.9772120554889443],[0.9770448207855225]
JXX,[-0.1588688834408547],[-0.1586044579744339]
JXY,[-0.5381276295407358],[-0.5381439924240112]
JXZ,[-0.2506249305871704],[-0.2507033944129944]
JYX,[-0.8646050641334451],[-0.8645232915878296]
JYY,[0.2864398249304285],[0.28648707270622253]
JYZ,[0.985193901863664],[0.9851551651954651]
JZX,[-0.5855663564444096],[-0.5854123830795288]
JZY,[0.5180930729616604],[0.5179392099380493]
JZZ,[-0.5781795821423887],[-0.5782254934310913]
