,treino,previsto
gamma1,[0.32611987261685993],[0.29634028673171997]
gamma2,[0.07355343057826824],[0.10975709557533264]
gamma3,[0.8415228969062091],[0.8026040196418762]
gamma4,[0.6172199559140832],[0.6075111627578735]
JIX,[-0.1829282414910125],[-0.03505720570683479]
JIY,[0.0839440182091924],[0.08226026594638824]
JIZ,[0.7240732329585464],[0.7251913547515869]
JXI,[-0.6466687116091123],[-0.6286256909370422]
JYI,[-0.5496809588437066],[-0.42441076040267944]
JZI,[-0.9418054934637778],[-0.9480817317962646]
JXX,[-0.7666989331142724],[-0.7072533369064331]
JXY,[-0.9823887482258662],[-0.9244242310523987]
JXZ,[-0.6866193298332723],[-0.6696158051490784]
JYX,[0.02742641700535131],[-0.028655027970671654]
JYY,[0.9789858207551021],[0.9220665097236633]
JYZ,[0.38702052286287625],[0.5006636381149292]
JZX,[-0.24314685775343814],[-0.28217625617980957]
JZY,[-0.18990452936148783],[-0.275590181350708]
JZZ,[0.3826192568247586],[0.289324015378952]
