,treino,previsto
gamma1,[0.5449414806032167],[0.5172420144081116]
gamma2,[0.2204406220406967],[0.26195454597473145]
gamma3,[0.5892656838759087],[0.4620376229286194]
gamma4,[0.8094304566778266],[0.5752345323562622]
JIX,[0.2788535969157675],[0.3698756694793701]
JIY,[-0.9499784895546661],[-0.8471032977104187]
JIZ,[-0.4499413632617615],[-0.5563617944717407]
JXI,[-0.5535785237023545],[-0.7842082977294922]
JYI,[0.4729424283280248],[0.2751985788345337]
JZI,[0.3533989748458226],[0.3908315598964691]
JXX,[0.7843591354096908],[0.7877506017684937]
JXY,[-0.8261223347411677],[-0.8180632591247559]
JXZ,[-0.15615636062945915],[-0.27165481448173523]
JYX,[-0.9404055611238593],[-0.6184284687042236]
JYY,[-0.5627240503927933],[-0.4381473958492279]
JYZ,[0.010710576206724776],[-0.09829677641391754]
JZX,[-0.9469280606322728],[-0.9353429675102234]
JZY,[-0.602324698626703],[-0.7183467149734497]
JZZ,[0.2997688755590464],[0.331070214509964]
