,treino,previsto
gamma1,[0.24226755574639336],[0.24210239946842194]
gamma2,[0.3055582060124523],[0.30542582273483276]
gamma3,[0.2523120847554935],[0.25214555859565735]
gamma4,[0.41210709911609533],[0.4117303490638733]
JIX,[-0.6109255041336379],[-0.6102620363235474]
JIY,[0.6121546029321616],[0.6119319796562195]
JIZ,[-0.25588029746786645],[-0.2569785416126251]
JXI,[0.6840539845332714],[0.6842383146286011]
JYI,[0.5925904370985218],[0.5924383997917175]
JZI,[0.1486956182422896],[0.1490567922592163]
JXX,[0.11579696496935821],[0.11522608995437622]
JXY,[-0.9168161896383005],[-0.9158952832221985]
JXZ,[0.7764692864270932],[0.7762686014175415]
JYX,[0.630126152520613],[0.6295316219329834]
JYY,[-0.2637592699233906],[-0.2644096612930298]
JYZ,[-0.8583209270734289],[-0.8576391339302063]
JZX,[-0.12423623395790906],[-0.12376084178686142]
JZY,[0.3453540669849615],[0.34501612186431885]
JZZ,[0.6439525830042963],[0.6428441405296326]
