,treino,previsto
gamma1,[0.465937574267109],[0.43727824091911316]
gamma2,[0.4306967863428379],[0.3830554187297821]
gamma3,[0.005389255905331569],[-0.004094062373042107]
gamma4,[0.5624015709181892],[0.5528780817985535]
JIX,[-0.6008225872917998],[-0.5473850965499878]
JIY,[0.23010520368993959],[0.18096044659614563]
JIZ,[-0.7857793521751026],[-0.843809962272644]
JXI,[0.8103557816972058],[0.7762449979782104]
JYI,[-0.6158465411883403],[-0.5605171322822571]
JZI,[-0.07755771611098128],[-0.0347839817404747]
JXX,[0.5424739695589225],[0.558138370513916]
JXY,[0.8158004931533465],[0.7882177233695984]
JXZ,[0.16443652246127072],[0.1302369385957718]
JYX,[0.3624441530787714],[0.2927626371383667]
JYY,[0.07276205494110943],[-0.018699629232287407]
JYZ,[0.692585565702907],[0.6662006378173828]
JZX,[-0.5508338991250497],[-0.5472261309623718]
JZY,[0.36813535669462083],[0.3288869857788086]
JZZ,[0.2025907571809149],[0.20252202451229095]
