,treino,previsto
gamma1,[0.4121982082245681],[0.354732871055603]
gamma2,[0.3921160702731351],[0.4788364768028259]
gamma3,[0.4143186456422864],[0.45543357729911804]
gamma4,[0.14720958617343982],[0.09886506199836731]
JIX,[0.36848190482414656],[0.4358428120613098]
JIY,[-0.8083253830463917],[-0.7679166793823242]
JIZ,[-0.6661703874666143],[-0.6429811120033264]
JXI,[0.21024771548237609],[0.15169408917427063]
JYI,[-0.34392793595973714],[-0.4049278199672699]
JZI,[0.8292446415583807],[0.85584557056427]
JXX,[0.5761022388154311],[0.6717566251754761]
JXY,[0.7293919108689626],[0.6073407530784607]
JXZ,[-0.17093465529655072],[-0.20968472957611084]
JYX,[0.6576844368628596],[0.8276008367538452]
JYY,[0.13409102615190394],[0.04590927064418793]
JYZ,[0.6612263399279708],[0.6830514669418335]
JZX,[-0.3576098895078468],[-0.33006158471107483]
JZY,[0.09643259359449252],[0.055036257952451706]
JZZ,[-0.11943636623090592],[-0.029198957607150078]
